Time,Distance
33.8,152.84
33.83333333,152.84
33.86666667,151.74
33.9,152.74
33.93333333,150.48
33.96666667,150.56
34,150.33
34.03333333,150.12
34.06666667,148.01
34.1,160.61
34.26666667,172.49
34.3,166.68
34.33333333,163.52
34.36666667,161.38
34.4,156.16
34.43333333,149.03
34.46666667,144.06
34.5,142.13
34.53333333,139.7
34.56666667,137.87
34.8,147.09
34.83333333,150.34
34.86666667,152.74
34.9,154.43
34.93333333,154.94
34.96666667,156.92
35.16666667,161.12
35.2,156.63
35.23333333,156.32
35.3,152.21
35.33333333,151.16
35.36666667,149.41
35.4,147.49
35.66666667,149.03
35.83333333,148.49
36,143.38
36.03333333,140.43
36.06666667,139.17
36.1,139.44
36.13333333,138.6
36.16666667,137.77
36.2,137.12
36.23333333,136.31
36.26666667,136.31
36.3,135.71
36.33333333,135.15
36.36666667,134.39
36.4,134.62
36.43333333,134.37
36.46666667,134.12
36.5,137.09
36.53333333,141.38
36.73333333,147.22
36.8,147.34
36.83333333,146.58
36.86666667,147.49
36.9,145.34
36.93333333,145.22
36.96666667,144.12
37,143.06
37.03333333,141
37.06666667,139.18
37.1,141.8
37.13333333,146.81
38.5,134.73
38.53333333,135.96
38.56666667,135.94
38.6,134.63
38.63333333,130.55
38.66666667,127.39
38.7,124.4
38.73333333,124.49
38.76666667,122.59
38.8,123.91
38.83333333,122.98
38.86666667,120.54
38.9,122.93
38.93333333,123.31
38.96666667,121.04
39.2,148
39.26666667,150.05
39.3,149.08
39.33333333,150.05
39.36666667,150.03
39.4,150.05
39.43333333,150.03
39.46666667,150.03
39.5,149.03
39.53333333,149.08
39.56666667,148.03
39.6,146.09
39.63333333,145.06
39.73333333,143.42
39.76666667,143.78
40.16666667,143.06
40.2,143
40.23333333,141.06
40.26666667,140.03
40.3,141.29
40.33333333,140.36
40.36666667,140.36
40.4,139.29
40.43333333,137.3
40.46666667,137.09
40.5,135
40.53333333,128.56
40.56666667,130.7
40.6,134.63
40.63333333,139.52
40.7,154.16
40.73333333,155.6
40.76666667,156.2
40.8,153.88
40.83333333,152.47
40.86666667,150.27
40.9,147.28
40.93333333,144.22
40.96666667,142.06
41,143.06
41.03333333,142.09
41.06666667,143.13
41.1,146.09
41.13333333,147.09
41.16666667,149.03
41.2,152
41.23333333,152.05
41.26666667,152.47
41.43333333,159.8
41.46666667,160.38
41.5,157.84
41.53333333,156.7
41.56666667,155.82
41.6,159.38
41.73333333,159.71
41.76666667,158.81
41.8,158.15
42.23333333,164.45
42.26666667,157.29
42.3,159.3
42.33333333,164.6
42.5,158.08
42.53333333,158.03
42.63333333,158
42.66666667,159.01
42.9,171.05
42.96666667,163.44
43,159.67
43.03333333,162.61
43.23333333,157.46
43.26666667,158.38
43.3,162.37
43.33333333,163.37
43.36666667,161.25
43.4,160.25
43.43333333,157.05
43.46666667,157
43.73333333,152.74
43.93333333,152.32
43.96666667,148.76
44,146.41
44.2,158.03
44.26666667,160.25
44.3,158.81
44.33333333,157.71
44.36666667,156.92
44.4,157.32
44.43333333,155.32
44.46666667,153.26
44.5,154.21
44.53333333,154.26
44.56666667,155.46
44.6,155.46
44.63333333,153.33
44.66666667,153.64
44.7,153.31
44.73333333,152.74
44.8,141.42
44.83333333,141.69
44.86666667,141.01
45.13333333,147
45.16666667,144.81
45.2,142.41
45.23333333,142.21
45.26666667,141.06
45.3,139.09
45.33333333,136.31
45.36666667,134.83
45.4,135.53
45.76666667,147.36
45.96666667,161.25
46,157.81
46.03333333,157.32
46.06666667,162.15
46.2,159.02
46.23333333,156.39
46.26666667,156.26
46.3,156.26
46.33333333,156.26
46.36666667,156.16
46.4,155.39
46.43333333,156.82
46.63333333,153.31
46.9,154.55
46.93333333,152.55
46.96666667,151.48
47.06666667,153.21
47.1,154.21
47.13333333,155.05
47.16666667,153
47.2,155.03
47.23333333,154.21
47.26666667,156.82
47.36666667,164.88
47.4,164.98
47.43333333,158.46
47.46666667,155.72
47.5,156.26
47.63333333,161.11
47.66666667,158.08
47.7,158.08
47.73333333,157.32
48.16666667,158.68
48.2,150.21
48.23333333,154.73
48.26666667,155.01
48.43333333,152.21
48.46666667,151.27
48.5,151.27
48.53333333,149.34
48.76666667,157.99
48.8,160.43
48.83333333,162.61
48.86666667,167.32
48.9,170.19
48.93333333,161.38
48.96666667,154.43
49,151.43
49.2,158.03
49.23333333,157.81
49.26666667,155.46
49.3,153.26
49.33333333,155.39
49.36666667,156.39
49.4,154.39
49.43333333,154.39
49.46666667,154.12
49.5,155.05
49.7,149.58
49.73333333,151.16
49.93333333,173.1
50,154.03
50.03333333,153.01
50.06666667,156.03
50.1,160.05
50.13333333,161.05
50.16666667,163.01
50.2,162
50.23333333,163
50.26666667,161.01
50.3,161
50.33333333,161.01
50.36666667,161
50.4,163.01
50.43333333,161.03
50.46666667,162.05
50.5,161.03
50.53333333,161.03
50.56666667,161.03
50.6,161.01
50.63333333,160.01
50.66666667,160.01
50.7,159.01
50.73333333,160.01
50.76666667,159.01
50.8,159.01
50.83333333,158.03
50.86666667,159.05
50.9,157.05
50.93333333,160.31
51.2,153.03
51.23333333,152.05
51.26666667,153.39
51.3,151.33
51.33333333,153.26
51.36666667,152.33
51.4,151.21
51.43333333,153.03
51.83333333,156.39
51.86666667,157.26
51.9,158.15
51.93333333,156.16
51.96666667,154.16
52,153.26
52.03333333,152.47
52.2,156.7
52.23333333,153.57
52.26666667,149.21
52.3,148.22
52.33333333,148.49
52.36666667,153.57
52.5,147.01
52.53333333,145.06
52.56666667,145.17
52.86666667,149.97
53,146.76
53.06666667,152.74
53.2,155
53.23333333,148
53.26666667,145.01
53.3,142
53.46666667,146.01
53.5,148.12
53.66666667,157.62
53.7,156.82
53.73333333,151.6
53.76666667,154.72
53.8,160.51
53.93333333,161.51
53.96666667,156.04
54.06666667,156.55
54.43333333,157.51
54.46666667,158.82
54.7,156.39
54.73333333,155.39
54.76666667,156.28
54.86666667,156.82
54.9,157.04
54.93333333,157.84
54.96666667,158.49
55.46666667,156.46
55.5,153.26
55.53333333,155.05
55.96666667,155.03
56,157
56.2,154.3
56.23333333,148.35
56.5,153.64
56.53333333,154.55
56.56666667,154.47
56.6,153.55
56.63333333,154.47
56.66666667,153.21
56.73333333,147.34
56.76666667,147.49
56.8,151.65
56.83333333,153.39
56.86666667,156.26
56.9,158.26
56.93333333,155.32
56.96666667,152.27
57,151.33
57.03333333,151.27
57.4,145.88
57.43333333,142.62
57.46666667,138
57.5,139.01
57.53333333,140.41
57.8,148.3
57.86666667,149.78
57.9,150.62
57.96666667,152.41
58,152.19
58.03333333,154.35
58.06666667,158.27
58.1,159.84
58.13333333,163.77
58.2,159.66
58.23333333,158.67
58.3,164.44
58.43333333,158.11
58.56666667,158
58.6,159
58.63333333,159
58.66666667,159.01
58.7,158.11
58.73333333,158.91
58.76666667,160.53
58.83333333,165
58.86666667,164.3
58.9,159.14
58.93333333,156.35
58.96666667,153.57
59.16666667,153.58
59.2,147.8
59.63333333,157.2
59.66666667,153.26
59.7,152.55
59.73333333,156.32
59.9,155.46
59.93333333,154.39
60.06666667,156.46
60.43333333,153.55
60.5,158.01
60.7,156.82
60.73333333,154.73
60.76666667,153.64
60.8,150.48
60.83333333,149.41
60.86666667,147.49
60.9,146.34
60.93333333,145.28
61,153.83
61.16666667,161.9
61.2,153.58
61.23333333,155.36
61.4,159.31
61.43333333,153.26
61.46666667,149.27
61.5,150.16
61.53333333,153.12
61.56666667,157.05
61.6,161.25
61.63333333,160.25
61.66666667,161.11
61.7,158.11
61.73333333,157.03
61.93333333,163.92
61.96666667,157.28
62,157.92
62.26666667,161
62.3,159.03
62.33333333,161.05
62.36666667,161.05
62.4,160.08
62.43333333,159.08
62.46666667,160.05
62.5,158.08
62.53333333,159.03
62.56666667,158.05
62.6,158.05
62.63333333,156.12
62.7,155.16
62.73333333,155.12
62.76666667,157.08
62.83333333,157.11
62.86666667,154.21
62.9,154.16
62.93333333,154.12
62.96666667,155.12
63,155.08
63.03333333,153.12
